idna_subject,checker_type,destination,source,tested_at,session_id
3.33.173.127,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:36.050604,c66d3016f4acf9795aaeac7e
3.33.193.97,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:36.101134,c66d3016f4acf9795aaeac7e
3.33.240.71,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:36.119822,c66d3016f4acf9795aaeac7e
3.33.250.164,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:36.120609,c66d3016f4acf9795aaeac7e
4.193.146.74,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:36.655533,c66d3016f4acf9795aaeac7e
5.45.93.200,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:37.414271,c66d3016f4acf9795aaeac7e
5.45.92.31,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:37.551365,c66d3016f4acf9795aaeac7e
5.45.92.74,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:37.636208,c66d3016f4acf9795aaeac7e
5.45.92.110,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:37.908481,c66d3016f4acf9795aaeac7e
5.61.48.39,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:37.920154,c66d3016f4acf9795aaeac7e
5.61.48.7,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:38.564618,c66d3016f4acf9795aaeac7e
5.61.49.200,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:38.874203,c66d3016f4acf9795aaeac7e
5.61.49.120,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:38.877963,c66d3016f4acf9795aaeac7e
5.61.49.40,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:38.984100,c66d3016f4acf9795aaeac7e
5.61.49.240,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:39.343917,c66d3016f4acf9795aaeac7e
5.61.50.200,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:39.999554,c66d3016f4acf9795aaeac7e
5.61.50.53,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:40.144889,c66d3016f4acf9795aaeac7e
5.61.49.5,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:40.257423,c66d3016f4acf9795aaeac7e
5.61.56.225,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:40.344074,c66d3016f4acf9795aaeac7e
13.126.233.17,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:40.800532,c66d3016f4acf9795aaeac7e
5.61.57.242,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.091440,c66d3016f4acf9795aaeac7e
13.212.136.139,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.101077,c66d3016f4acf9795aaeac7e
5.61.57.53,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.226184,c66d3016f4acf9795aaeac7e
13.212.17.65,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.384091,c66d3016f4acf9795aaeac7e
13.212.176.41,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.424555,c66d3016f4acf9795aaeac7e
13.212.190.2,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.521188,c66d3016f4acf9795aaeac7e
8.219.56.162,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.546061,c66d3016f4acf9795aaeac7e
5.61.56.232,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.579683,c66d3016f4acf9795aaeac7e
13.212.90.224,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.685675,c66d3016f4acf9795aaeac7e
13.214.180.15,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.720250,c66d3016f4acf9795aaeac7e
13.214.180.178,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.820109,c66d3016f4acf9795aaeac7e
13.250.117.47,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.861670,c66d3016f4acf9795aaeac7e
13.250.23.8,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.887266,c66d3016f4acf9795aaeac7e
13.250.51.162,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:41.979324,c66d3016f4acf9795aaeac7e
15.197.187.100,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.010929,c66d3016f4acf9795aaeac7e
18.138.227.66,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.122842,c66d3016f4acf9795aaeac7e
18.141.153.7,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.180180,c66d3016f4acf9795aaeac7e
18.141.218.4,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.213380,c66d3016f4acf9795aaeac7e
18.141.236.123,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.284961,c66d3016f4acf9795aaeac7e
18.143.107.111,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.316005,c66d3016f4acf9795aaeac7e
18.143.116.20,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.425087,c66d3016f4acf9795aaeac7e
18.143.180.66,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.489087,c66d3016f4acf9795aaeac7e
18.162.146.22,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.515251,c66d3016f4acf9795aaeac7e
18.162.179.164,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.586854,c66d3016f4acf9795aaeac7e
18.166.162.130,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.610971,c66d3016f4acf9795aaeac7e
18.166.245.33,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.730801,c66d3016f4acf9795aaeac7e
18.166.27.223,AVAILABILITY,origin.list,origin.list,2023-06-09 05:16:42.800938,c66d3016f4acf9795aaeac7e
